Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"Summer Elisabeth Sanders (-Henderson, -Schlopy)",F,19,175,57,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
"Summer Elisabeth Sanders (-Henderson, -Schlopy)",F,19,175,57,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
"Franklyn Bonn ""Frank"" Sanders, Jr.",M,22,188,98,United States,USA,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Annemarie Sanders-Keijzer,F,34,163,52,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
"Tonya Denise ""Teee"" Sanders-Williams (-Slacanin)",F,24,180,66,United States,USA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Bronze
Cael Norman Sanderson,M,25,182,84,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
"Theresa Ione ""Tessa"" Sanderson (-White)",F,28,168,70,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Javelin Throw,Gold
Mirko Sandi,M,22,198,100,Yugoslavia,YUG,1964 Summer,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Silver
Mirko Sandi,M,26,198,100,Yugoslavia,YUG,1968 Summer,1968,Summer,Mexico City,Water Polo,Water Polo Men's Water Polo,Gold
Marita Sandig (-Gasch),F,22,175,68,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Gold
Olof rjan Sandler,M,27,180,74,Sweden,SWE,1968 Winter,1968,Winter,Grenoble,Speed Skating,"Speed Skating Men's 10,000 metres",Bronze
Sandra Maria Suruagy Lima,F,33,178,63,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Sandra Tavares Pires Nascimento,F,23,174,64,Brazil-1,BRA,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
Sandra Tavares Pires Nascimento,F,27,174,64,Brazil-2,BRA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
Sandro Raniere Guimares Cordeiro,M,23,187,75,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
Leevan Sands,M,26,191,82,Bahamas,BAH,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,Bronze
Tomas Sandstrm,M,19,189,92,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Ulf Hendry Sandstrm,M,20,180,81,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Michael Sandstd,M,24,180,74,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Adam Sandurski,M,27,214,135,Poland,POL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
Monica Sandve (-Langeland),F,26,168,62,Norway,NOR,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,Bronze
Viktor Saneyev,M,23,188,78,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Triple Jump,Gold
Viktor Saneyev,M,26,188,78,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Triple Jump,Gold
Viktor Saneyev,M,30,188,78,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Triple Jump,Gold
Viktor Saneyev,M,34,188,78,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Triple Jump,Silver
Ippolito Sanfratello,M,32,180,77,Italy,ITA,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Gold
Julius Sang,M,26,175,69,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,Bronze
Julius Sang,M,26,175,69,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Patrick Kiprop Sang,M,28,180,65,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
Sang Xue,F,16,157,42,China,CHN,2000 Summer,2000,Summer,Sydney,Diving,Diving Women's Synchronized Platform,Gold
Daniel Ren Claude Sangouma,M,23,187,84,France,FRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Kseniya Andreyevna Sankovich,F,18,172,54,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Kseniya Andreyevna Sankovich,F,22,172,54,Belarus,BLR,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Yuko Sano,F,32,159,53,Japan,JPN,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Bronze
Jordi Sans Juan,M,26,180,70,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Silver
Jordi Sans Juan,M,30,180,70,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
Boris Louis Sanson,M,27,193,80,France,FRA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Gold
Andrea Santarelli,M,23,184,76,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",Silver
Elisa Santoni,F,16,176,56,Italy,ITA,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Elisa Santoni,F,24,176,56,Italy,ITA,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Jenna Santoromito,F,21,169,65,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze
Mia Santoromito,F,23,169,80,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze
Daniel Santos Pea,M,20,182,67,Puerto Rico,PUR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Welterweight,Bronze
Lugueln Miguel Santos Aquino,M,18,173,58,Dominican Republic,DOM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,Silver
Paulo dos Santos,M,24,178,64,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
Carles Sanz Lpez,M,21,177,88,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
Salvatore Sanzo,M,24,178,73,Italy,ITA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Foil, Team",Bronze
Salvatore Sanzo,M,28,178,73,Italy,ITA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",Silver
Salvatore Sanzo,M,28,178,73,Italy,ITA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Team",Gold
Salvatore Sanzo,M,32,178,73,Italy,ITA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Foil, Individual",Bronze
Stasys aparnis,M,29,174,72,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Yury Nikolayevich Sapega,M,23,196,85,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Silver
"Debora Elaine ""Debra"" Sapenter (-Speight, -Christopher)",F,24,170,52,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Aleksandar api,M,22,188,100,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Bronze
Aleksandar api,M,26,188,100,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Silver
Aleksandar api,M,30,188,100,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Serik Zhumangaliyevich Sapiyev,M,28,179,64,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,Gold
Aleksa aponji,M,20,191,98,Serbia,SRB,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Bronze
Jevgijs Saproenko,M,25,172,65,Latvia,LAT,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,Silver
Aleksandr Mikhaylovich Saprykin,M,26,197,94,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,Bronze
"Zlatko ""Zlatan"" Saraevi",M,27,187,97,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,Bronze
"Zlatko ""Zlatan"" Saraevi",M,35,187,97,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Gold
Giulio Cesare Saraudi,M,22,183,81,Italy,ITA,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Heavyweight,Bronze
Hassan Sardar,M,26,178,70,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
"James Fred Robert ""Dick"" Sargeant",M,28,183,75,Barrenjoey,AUS,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed 5.5 metres,Gold
"Inessa Yevgenyevna Sargsyan (Yemelyanova-, -Korkmaz)",F,28,190,75,Russia,RUS,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Silver
Stepan Sargsyan,M,26,164,62,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Sandra ari,F,24,175,67,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Welterweight,Bronze
Albert Saritov,M,31,188,100,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
Yurik Sarkisyan,M,18,167,59,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Bantamweight,Silver
Istvn Srkzi,M,20,176,72,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,Gold
Gyrgy Sarls,M,28,184,84,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Fours,Silver
Mauro Sarmiento,M,25,196,80,Italy,ITA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Welterweight,Silver
Mauro Sarmiento,M,29,196,80,Italy,ITA,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Welterweight,Bronze
Victoriano Sarmientos Bios,M,19,186,87,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Bronze
Craig Brian Sarner,M,22,180,84,United States,USA,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Lszl Srosi,M,22,183,83,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Water Polo,Water Polo Men's Water Polo,Bronze
Lszl Srosi,M,25,183,83,Hungary,HUN,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,Silver
Lszl Srosi,M,29,183,83,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Gold
Bakhyt Abdirakhmanovich Sarsekbayev,M,26,173,69,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Welterweight,Gold
Andrea Sartoretti,M,25,194,88,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Men's Volleyball,Silver
Andrea Sartoretti,M,29,194,88,Italy,ITA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,Bronze
Andrea Sartoretti,M,33,194,88,Italy,ITA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Silver
Alessio Sartori,M,23,200,100,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
Alessio Sartori,M,27,200,100,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,Bronze
Alessio Sartori,M,35,200,100,Italy,ITA,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Double Sculls,Silver
Nicola Sartori,M,24,188,85,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Double Sculls,Bronze
Tatyana Filippovna Sarycheva,F,19,175,72,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Gold
Tatyana Filippovna Sarycheva,F,23,175,72,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Women's Volleyball,Gold
Setsuko Sasaki,F,19,173,60,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Gold
Szvetiszlv Sasics,M,28,179,72,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Anatoly Fomich Sass,M,32,188,84,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Double Sculls,Gold
"Welissa ""Sass"" de Souza Gonzaga",F,25,179,76,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Or Sasson,M,25,193,120,Israel,ISR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,Bronze
"William Spencer ""Will"" Satch",M,23,198,100,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Pairs,Bronze
"William Spencer ""Will"" Satch",M,27,198,100,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
Eric Anthony Teruo Sato,M,22,180,73,United States,USA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Gold
Eric Anthony Teruo Sato,M,26,180,73,United States,USA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Bronze
Hisayoshi Sato,M,21,179,70,Japan,JPN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Liane Lissa Sato,F,27,162,55,United States,USA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Bronze
Mitsuru Sato,M,26,163,59,Japan,JPN,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
Rie Sato,F,23,171,57,Japan,JPN,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Bronze
Rie Sato,F,27,171,57,Japan,JPN,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Gold
Shinichi Sato,M,26,183,80,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Bronze
Tetsuo Sato,M,19,198,86,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,Silver
Tetsuo Sato,M,23,198,86,Japan,JPN,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,Gold
Tomoaki Sato,M,27,184,90,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Silver
Toshiharu Sato,M,19,170,62,Japan,JPN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Yasuhiro Sato,M,24,176,76,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Bronze
Yasutaka Sato,M,24,184,78,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Men's Volleyball,Bronze
Yuki Sato,F,23,165,61,Japan,JPN,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Bronze
Imre Stori (Schwertz),M,23,170,69,Hungary,HUN,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,Bronze
Tae Satoya,F,21,166,55,Japan,JPN,1998 Winter,1998,Winter,Nagano,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
Tae Satoya,F,25,166,55,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Moguls,Bronze
Ivan Satrapa,M,26,182,88,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,Silver
Bekzat Seilkhanovich Sattarkhanov,M,20,169,57,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Featherweight,Gold
Rebecca Sattin,F,23,180,77,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze
Norbert Sattler,M,20,168,68,Austria,AUT,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
Jean Marlene Saubert,F,21,167,68,United States,USA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
Jean Marlene Saubert,F,21,167,68,United States,USA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Slalom,Bronze
Lucia Sauca (-Toader),F,20,179,78,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights,Silver
Martin Sauer,M,29,169,55,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
Martin Sauer,M,33,169,55,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
Uwe Sauer,M,40,185,70,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Lotte Nicolien Sauerbreij,F,30,164,58,Netherlands,NED,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Parallel Giant Slalom,Gold
"Rebecca Elizabeth ""Becky"" Sauerbrunn",F,27,170,64,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
Glynn Saulters,M,23,188,80,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
"David Patrick ""Dave"" Saunders",M,23,190,88,United States,USA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
"David Patrick ""Dave"" Saunders",M,27,190,88,United States,USA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Gold
Townsend Saunders,M,29,165,68,United States,USA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
Christoph Sauser,M,24,181,65,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze
Dmitry Ivanovich Sautin,M,18,172,65,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Diving,Diving Men's Springboard,Bronze
Dmitry Ivanovich Sautin,M,22,172,65,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Platform,Gold
Dmitry Ivanovich Sautin,M,26,172,65,Russia,RUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Springboard,Bronze
Dmitry Ivanovich Sautin,M,26,172,65,Russia,RUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Platform,Bronze
Dmitry Ivanovich Sautin,M,26,172,65,Russia,RUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Synchronized Springboard,Silver
Dmitry Ivanovich Sautin,M,26,172,65,Russia,RUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Synchronized Platform,Gold
Dmitry Ivanovich Sautin,M,30,172,65,Russia,RUS,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Springboard,Bronze
Dmitry Ivanovich Sautin,M,34,172,65,Russia,RUS,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Springboard,Silver
Brian Savage,M,22,188,87,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Allin Paul Savage,M,50,175,91,Canada,CAN,1998 Winter,1998,Winter,Nagano,Curling,Curling Men's Curling,Silver
Cristian Savani,M,30,195,95,Italy,ITA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Bronze
Katerine Savard,F,23,167,54,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
Viktor Hryhorovych Savchenko,M,23,172,71,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Middleweight,Bronze
Viktor Hryhorovych Savchenko,M,27,172,71,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Middleweight,Silver
Ilya Yevgenyevich Savelyev,M,29,202,90,Russia,RUS,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,Silver
Sergey Petrovich Savelyev,M,27,178,70,Soviet Union,URS,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
Sergey Petrovich Savelyev,M,27,178,70,Soviet Union,URS,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
Tatyana Andreyevna Savelyeva,F,17,164,57,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Jill Savery,F,24,160,52,United States,USA,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Dejan Savi,M,25,190,120,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Bronze
Dejan Savi,M,29,190,120,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Silver
Dejan Savi,M,33,190,120,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze
Maja Savi,F,36,176,66,Montenegro,MNE,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Silver
"Radmila ""Rada"" Savi",F,19,170,69,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,Silver
Zoran Savi,M,29,209,114,Serbia and Montenegro,SCG,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Silver
Yury Nikolayevich Savichev,M,23,183,73,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Gold
Jess Savigne Savigne,M,23,187,90,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Bronze
Jane Kara Saville (-White),F,29,164,52,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 20 kilometres Walk,Bronze
Aleksandr Borisovich Savin,M,19,200,97,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Silver
Aleksandr Borisovich Savin,M,23,200,97,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Gold
Vitaly Anatolyevich Savin,M,22,184,95,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Mariya Sergeyevna Savinova (-Farnosova),F,26,172,60,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 800 metres,Gold
Svio Pimentel Bortolini,M,22,176,70,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
Javier Pedro Saviola Fernndez,M,22,168,60,Argentina,ARG,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Gold
Galina Vladimirovna Savitskaya (Krisevich-),F,27,187,79,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Bronze
Larisa Mikhaylovna Savkina,F,25,178,75,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,Gold
Heikki Ilmari Savolainen,M,20,172,64,Finland,FIN,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Heikki Ilmari Savolainen,M,24,172,64,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Heikki Ilmari Savolainen,M,24,172,64,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Heikki Ilmari Savolainen,M,24,172,64,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Heikki Ilmari Savolainen,M,24,172,64,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
Heikki Ilmari Savolainen,M,28,172,64,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Heikki Ilmari Savolainen,M,40,172,64,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Heikki Ilmari Savolainen,M,40,172,64,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Heikki Ilmari Savolainen,M,44,172,64,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Jaana Maarit Savolainen,F,24,162,51,Finland,FIN,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
Amarilys Savn Carmenate,F,18,159,52,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Extra-Lightweight,Bronze
Amarilys Savn Carmenate,F,22,159,52,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Extra-Lightweight,Bronze
Amarilys Savn Carmenate,F,30,159,52,Cuba,CUB,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Lightweight,Bronze
Erislandy Savn Cotilla,M,26,192,91,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,Bronze
Flix Savn Fabr,M,24,198,91,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Heavyweight,Gold
Flix Savn Fabr,M,28,198,91,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Heavyweight,Gold
Flix Savn Fabr,M,32,198,91,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Heavyweight,Gold
"Anzhelika ""Angelica"" Savrayuk",F,22,175,49,Italy,ITA,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Homare Sawa,F,33,164,55,Japan,JPN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Silver
